date,year,quarter,PE_index,VC_index,Bond10,SP500,GSCI,HFRI,NFCI,PMI,PE_r,VC_r,Bond10_r,SP500_r,GSCI_r,HFRI_r,NFCI_r,PMI_r
Mar-90,1990,1,100,100,100,100,100,100,100,100,-0.0091,0.0044,-0.0281,0.0121,-0.0004,-0.0060,-0.0035,0.0085
Jun-90,1990,2,100,100,103,96,97,109,100,106,0.0045,0.0010,0.0330,-0.0388,-0.0336,0.0820,0.0003,0.0576
Sep-90,1990,3,101,101,103,101,150,104,100,99,0.0085,0.0092,-0.0052,0.0518,0.4393,-0.0400,-0.0026,-0.0704
Dec-90,1990,4,103,100,110,87,129,105,100,92,0.0163,-0.0079,0.0700,-0.1568,-0.1502,0.0071,0.0056,-0.0758
Mar-91,1991,1,104,101,112,93,123,119,100,83,0.0112,0.0101,0.0209,0.0760,-0.0478,0.1267,0.0013,-0.0972
Jun-91,1991,2,106,102,113,106,123,124,100,91,0.0222,0.0125,0.0077,0.1278,-0.0021,0.0370,-0.0069,0.0879
Sep-91,1991,3,109,103,121,105,132,130,100,107,0.0267,0.0078,0.0718,-0.0109,0.0730,0.0463,-0.0010,0.1674
Dec-91,1991,4,114,106,130,110,121,135,99,113,0.0423,0.0258,0.0696,0.0440,-0.0863,0.0438,-0.0030,0.0482
Mar-92,1992,1,117,110,127,118,125,149,99,100,0.0306,0.0370,-0.0233,0.0727,0.0272,0.0976,-0.0010,-0.1157
Jun-92,1992,2,119,110,132,114,131,153,99,111,0.0154,-0.0030,0.0458,-0.0327,0.0505,0.0271,-0.0002,0.1062
Sep-92,1992,3,120,111,141,115,131,155,99,114,0.0074,0.0112,0.0666,0.0110,-0.0016,0.0138,-0.0024,0.0244
Dec-92,1992,4,129,121,141,118,127,166,99,107,0.0734,0.0912,0.0010,0.0234,-0.0328,0.0677,0.0016,-0.0691
Mar-93,1993,1,129,121,150,123,132,177,99,118,0.0033,-0.0022,0.0608,0.0420,0.0442,0.0612,-0.0014,0.1038
Jun-93,1993,2,133,127,156,128,123,190,99,106,0.0267,0.0524,0.0395,0.0360,-0.0708,0.0706,-0.0009,-0.1058
Sep-93,1993,3,137,132,162,127,123,205,99,106,0.0299,0.0373,0.0378,-0.0025,0.0021,0.0754,-0.0007,0.0000
Dec-93,1993,4,147,136,160,130,111,215,99,113,0.0729,0.0330,-0.0090,0.0185,-0.1070,0.0485,0.0000,0.0618
Mar-94,1994,1,148,137,152,132,116,228,99,119,0.0113,0.0075,-0.0523,0.0163,0.0443,0.0575,0.0003,0.0475
Jun-94,1994,2,151,142,149,126,124,224,99,122,0.0199,0.0383,-0.0170,-0.0453,0.0650,-0.0144,0.0028,0.0247
Sep-94,1994,3,154,147,149,126,116,234,99,124,0.0164,0.0337,-0.0013,-0.0034,-0.0622,0.0404,0.0003,0.0190
